title,publisher,print_issn,e_issn,for_code,year_inception,abdc_2025
International Journal of Human Resource Management,Taylor & Francis Online,0958-5192,1466-4399,3505,1990,A
International Journal of Manpower,Emerald Group Publishing,0143-7720,1758-6577,3505,1980,A
International Journal of Selection and Assessment,Wiley-Blackwell Publishing,0965-075X,1468-2389,3505,1993,A
International Negotiation: a journal of theory and practice,Brill,1382-340X,1571-8069,3505,1996,A
Journal of Career Assessment,Sage Publications,1069-0727,1552-4590,3505,1993,A
Journal of Employment Counseling,Wiley-Blackwell Publishing,0022-0787,2161-1920,3505,1964,A
Journal of Industrial Relations,Sage Publications,0022-1856,1472-9269,3505,1959,A
Journal of Professions and Organization,Oxford University Press,2051-8803,2051-8811,3505,2014,A
Labor History,Taylor & Francis Online,0023-656X,1469-9702,3505,1960,A
Labour History: a journal of labour and social history,Liverpool University Press,0023-6942,0023-6942,3505,1962,A
"New Technology, Work & Employment",Wiley-Blackwell Publishing,0268-1072,1468-005X,3505,1986,A
Personnel Review,Emerald Group Publishing,0048-3486,1758-6933,3505,1971,A
Reliability Engineering & System Safety,Elsevier,0951-8320,1879-0836,3505,1980,A
Safety Science,Elsevier,0925-7535,,3505,1991,A
Studies in Higher Education,Taylor & Francis Online,0307-5079,1470-174X,3505,1976,A
"Work & Stress: An international Journal of Work, Health and Organisations",Taylor & Francis Online,0267-8373,1464-5335,3505,1987,A
Work and Occupations,Sage Publications,0730-8884,1552-8464,3505,1974,A
"Work, Employment and Society",Sage Publications,0950-0170,1469-8722,3505,1987,A
European Journal of Marketing,Emerald Group Publishing,0309-0566,1758-7123,3506,1967,A*
Industrial Marketing Management,Elsevier,0019-8501,1873-2062,3506,1971,A*
International Journal of Research in Marketing,Elsevier,0167-8116,1873-8001,3506,1984,A*
Journal of Retailing,Elsevier,0022-4359,1873-3271,3506,1993,A*
Journal of Service Research,Sage Publications,1094-6705,1552-7379,3506,1998,A*
Appetite,Elsevier,0195-6663,1095-8304,3506,1980,A
Asia Pacific Journal of Marketing and Logistics,Emerald Group Publishing,1355-5855,1758-4248,3506,1988,A
Australasian Marketing Journal,Sage Publications,1441-3582,1839-3349,3506,1993,A
Food Quality and Preference,Elsevier,0950-3293,,3506,1988,A
Health Promotion International,Oxford University Press,0957-4824,1460-2245,3506,1986,A
International Journal of Advertising,Taylor & Francis Online,0265-0487,1759-3948,3506,1982,A
International Journal of Bank Marketing,Emerald Group Publishing,0265-2323,1758-5937,3506,1983,A
International Journal of Consumer Studies,Wiley-Blackwell Publishing,1470-6423,1470-6431,3506,1977,A
International Journal of Market Research,Sage Publications,1470-7853,2515-2173,3506,1959,A
International Journal of Public Opinion Research,Oxford University Press,,1471-6909,3506,1989,A
International Journal of Retail & Distribution Management,Emerald Group Publishing,0959-0552,1758-6690,3506,1973,A
International Marketing Review,Emerald Group Publishing,0265-1335,1758-6763,3506,1983,A
Journal of Advertising,Taylor & Francis Online,0091-3367,1557-7805,3506,1960,A
Journal of Advertising Research,Taylor & Francis Online,0021-8499,1740-1909,3506,1960,A
Journal of Brand Management,Springer International Publishing,1350-231X,1479-1803,3506,1993,A
Journal of Business & Industrial Marketing,Emerald Group Publishing,0885-8624,2052-1189,3506,1986,A
Journal of Business Research,Elsevier,0148-2963,1873-7978,3506,1973,A
Journal of Consumer Affairs,Wiley-Blackwell Publishing,0022-0078,1745-6606,3506,1967,A
Journal of Consumer Behaviour,Wiley-Blackwell Publishing,1472-0817,1479-1838,3506,2001,A
Journal of Consumer Marketing,Emerald Group Publishing,0736-3761,2052-1200,3506,1984,A
Journal of Hospitality Marketing and Management,Taylor & Francis Online,1936-8623,1936-8631,3506,2009,A
