title,publisher,print_issn,e_issn,for_code,year_inception,abdc_2025
American Behavioral Scientist,Sage Publications,0002-7642,1552-3381,3507,1957,B
American Business Law Journal,Wiley-Blackwell Publishing,0002-7766,1744-1714,4801,1963,A
American Business Review,University of New Haven,0743-2348,0743-2348,3507,1983,B
American Economic Journal: Applied Economics,American Economic Association,1945-7782,1945-7790,3801,2009,A*
American Economic Journal: Economic Policy,American Economic Association,1945-7731,1945-774X,3801,2009,A*
American Economic Journal: Macroeconomics,American Economic Association,1945-7707,1945-7715,3801,2009,A*
American Economic Journal: Microeconomics,American Economic Association,1945-7669,1945-7685,3801,2009,A*
American Economic Review: Insights,American Economic Association,2640-205X,2640-2068,3801,2019,A*
American Economist,Sage Publications,0569-4345,2328-1235,3801,1960,C
American International Journal of Business and Management Studies,American Center of Science and Education,2641-4937,2641-4953,3507,2019,C
American Journal of Agricultural Economics,Oxford University Press,0002-9092,1467-8276,3801,1919,A*
American Journal of Business (AJB),Emerald Publishing,1935-519X,1935-5181,3507,1986,C
American Journal of Comparative Law,Oxford University Press,0002-919X,2326-9197,4801,1951,A
American Journal of Economics and Sociology,Wiley-Blackwell Publishing,0002-9246,1536-7150,3801,1941,B
American Journal of Evaluation,Sage Publications,1098-2140,1557-0878,3503,1981,C
American Journal of Finance and Accounting,Inderscience Publishers,1752-7767,1752-7775,3502,2008,C
American Journal of Health Economics,MIT Press,2332-3493,2332-3507,3801,2015,A*
American Journal of Political Science,Wiley-Blackwell Publishing,0092-5853,1540-5907,3599,1950,A*
American Journal of Public Health,The American Public Health Association,0090-0036,1541-0048,3599,1911,A*
American Journal of Recreation Therapy,Weston Medical Publishing,1539-4131,,3504,2002,C
American Journal of Sociology,The University of Chicago Press,0002-9602,1537-5390,3507,1895,A*
American Law and Economics Review,Oxford University Press,1465-7252,1465-7260,3801,1999,B
American Political Science Review,Cambridge University Press,0003-0554,1537-5943,3599,1906,A*
American Psychologist,American Psychological Association,0003-066X,1935-990X,3507,1946,A*
American Review of Political Economy,American Review of Political Economy,1551-1383,,3899,2002,C
American Review of Public Administration,Sage Publications,0275-0740,1552-3357,3599,1967,B
American Sociological Review,Sage Publications,0003-1224,1939-8271,3507,1936,A*
AMS Review,Springer International Publishing,1869-814X,1869-8182,3506,1997,B
Analisis: cuadernos de investigacion,Centre for Latin American Monetary Studies (CEMLA),0252-8851,,3801,1977,C
Analytic Methods in Accident Research,Elsevier,2213-6657,2213-6665,3509,2014,B
Anatolia,Taylor & Francis Online,1303-2917,2156-6909,3508,1990,B
Annals Economy Series,Universitatea Constantin Brancusi din Targu-Jiu,1844-7007,,3899,2009,C
Annals of Actuarial Science,Cambridge University Press,1748-4995,1748-5002,3502,2006,A
Annals of Applied Probability,Institute of Mathematical Statistics,1050-5164,2168-8737,4905,1991,A
Annals of Applied Statistics,Institute of Mathematical Statistics,1932-6157,1941-7330,4905,2007,A
Annals of Economics and Finance,Peking University Press,1529-7373,,3502,2000,C
Annals of Finance,Springer International Publishing,1614-2446,1614-2454,3502,2005,B
Annals of Leisure Research,Routledge,1174-5398,2159-6816,3504,1998,B
Annals of Operations Research,Springer International Publishing,0254-5330,1572-9338,3507,1984,A
Annals of Probability,Institute of Mathematical Statistics,0091-1798,2168-894X,4905,1973,A*
Annals of Public and Cooperative Economics,Wiley-Blackwell Publishing,1370-4788,1467-8292,3801,1925,B
Annals of Statistics,Institute of Mathematical Statistics,0090-5364,,4905,1973,A*
Annals of the American Academy of Political and Social Science,Sage Publications,0002-7162,1552-3349,3599,1891,B
Annals of the Institute of Statistical Mathematics,Springer International Publishing,0020-3157,1572-9052,4905,1949,A
Annals of Tourism Research,Elsevier,0160-7383,1873-7722,3508,1973,A*
Annals of Tourism Research Empirical Insights,Elsevier,2666-9579,2666-9579,3508,,B
Annual Editions: Economics,Dushkin Publ. Group,1092-776X,,3801,1971,C
Annual Review of Banking and Financial Law,Boston University School of Law,1544-4627,,4801,1982,C
Annual Review of Economics,Annual Reviews,1941-1383,1941-1391,3801,2009,A*
Annual Review of Financial Economics,Annual Reviews,1941-1367,1941-1375,3801,2009,B
Annual Review of Organizational Psychology and Organizational Behavior,Annual Reviews,2327-0616,,3507,2014,A*
Annual Review of Psychology,Annual Reviews,0066-4308,1545-2085,3507,1950,A*
Annual Review of Resource Economics,Annual Reviews,1941-1340,1941-1359,3801,2009,B
Annual Review of Sociology,Annual Reviews,0360-0572,1545-2115,3507,1975,A*
Anti Trust Law Journal,American Bar Association,0003-6056,,4801,1952,A
Antitrust Bulletin,Sage Publications,0003-603X,1930-7969,4801,1955,B
Appetite,Elsevier,0195-6663,1095-8304,3506,1980,A
Applied Cognitive Psychology,Wiley-Blackwell Publishing,0888-4080,1099-0720,3507,1987,B
Applied Econometrics,"Moscow University for Industry and Finance Synergy"" """,1993-7601,2410-6445,3802,2006,C
Applied Econometrics and International Development,Euro-American Association of Economic Development Studies,1578-4487,,3802,2001,C
Applied Economic Analysis,Emerald Publishing Group,2632-7627,,3801,,B
Applied Economic Perspectives and Policy,Oxford University Press,2040-5804,2040-5970,3801,1979,B
Applied Economics,Taylor & Francis Online,0003-6846,1466-4283,3801,1969,A
Applied Economics Letters,Taylor & Francis Online,1350-4851,1466-4291,3801,1994,B
Applied Economics Quarterly,Duncker & Humblot Gmbh,1611-6607,1865-5122,3801,1952,B
Applied Energy,Elsevier,0306-2619,,3599,1975,A
Applied Finance Letters,Auckland University of Technology,2253-5799,2253-5802,3502,2012,B
Applied Financial Economics,Taylor & Francis Online,0960-3107,1466-4305,3502,1991,B
Applied Health Economics and Health Policy,Springer International Publishing,1175-5652,1179-1896,3801,2002,C
Applied Mathematical Finance,Taylor & Francis Online,1350-486X,1466-4313,3502,1994,B
Applied Psychological Measurement,Sage Publications,0146-6216,1552-3497,3507,1977,B
Applied Psychology: An International Review,Wiley-Blackwell Publishing,0269-994X,1464-0597,3507,1952,A
Applied Research in Quality of Life,Springer Nature,1871-2584,1871-2576,3599,,B
Applied Stochastic Models in Business and Industry,Wiley-Blackwell Publishing,1524-1904,1526-4025,4905,1985,B
Appraisal Journal,Appraisal Institute,0003-7087,,3504,1932,B
Aquaculture Economics and Management,Taylor & Francis Online,1365-7305,1551-8663,3801,1997,C
Arizona Law Review,HeinOnline,0004-153X,,4801,1959,B
Arkansas Business and Economic Review,"University of Arkansas, Bureau of Business and Eco",0004-1742,,3801,1933,C
Artha-Vikas: a journal of economic development,Sardar Patel University,0004-3567,,3801,1965,C
Arts and the Market (formerly Arts Marketing),Emerald Group Publishing,2044-2084,2056-4945,3506,,C
ASEAN Journal on Hospitality and Tourism,Institut Teknologi Bandung,1412-2073,,3508,2002,C
Asia Europe Journal,Springer International Publishing,1610-2932,1612-1031,3599,2003,B
Asia Pacific Business Review,Taylor & Francis Online,1360-2381,1743-792X,3507,1994,B
Asia Pacific Journal of Economics and Business,Taylor & Francis Online,1326-8481,,3801,1997,B
Asia Pacific Journal of Finance,Wiley-Blackwell Publishing,0219-1466,,3502,1998,B
Asia Pacific Journal of Health Management,Australian College of Health Service Executives,1833-3818,1833-3818,3599,2006,C
Asia Pacific Journal of Information Systems,Korea Society of Management Information Systems,2288-5404,2288-6818,4609,1990,B
Asia Pacific Journal of Management,Springer International Publishing,0217-4561,1572-9958,3507,1983,A
Asia Pacific Journal of Marketing and Logistics,Emerald Group Publishing,1355-5855,1758-4248,3506,1988,A
Asia Pacific Journal of Taxation,Hong Kong Polytechnic University,1027-5592,,4801,1997,C
Asia Pacific Journal of Tourism Research,Taylor & Francis Online,1094-1665,1741-6507,3508,1996,A
Asia Pacific Law Review,Taylor & Francis Online,1019-2557,1875-8444,4801,1992,C
Asia Pacific Public Relations Journal,University of Newcastle,1440-4389,1839-8227,3506,1999,B
Asia Pacific Sustainable Development Journal,United Nations ESCAP,1020-1246,,3899,1956,B
Asia-Pacific Financial Markets,Springer International Publishing,1387-2834,1573-6946,3502,1994,C
Asia-Pacific Journal of Accounting and Economics,Taylor & Francis Online,1608-1625,2164-2257,3501,2000,B
Asia-Pacific Journal of Business Administration,Emerald Group Publishing,1757-4323,1757-4331,3507,2009,B
Asia-Pacific Journal of Financial Studies,Wiley-Blackwell Publishing,2041-9945,2041-6156,3502,1980,B
Asia-Pacific Journal of Human Resources,Wiley-Blackwell Publishing,1038-4111,1744-7941,3505,1966,A
Asia-Pacific Journal of Innovation in Hospitality and Tourism,"Taylors' University, Malaysia",2710-6519,,3508,,C
Asia-Pacific Journal of Risk and Insurance,De Gruyter,2194-606X,2153-3792,3502,2005,B
Asia-Pacific Management Accounting Journal,Universiti Teknologi MARA (UiTM) Press,1675-3194,2550-1631,3501,2006,C
Asia-Pacific Management Review,Elsevier,1029-3132,2589-8213,3507,1996,C
Asia-Pacific Tax Bulletin,International Bureau of Fiscal Documentation,1385-3082,,4801,1983,C
Asian Academy of Management Journal,Penerbit Universiti Sains Malaysia,1394-2603,2180-4184,3507,1996,C
